sz,tsz,loads,misses,ins,mpki
1024,8,75027057,1736533,214270373,8.104400882337568
2048,8,299589047,7570011,855128599,8.85248254923585
4096,8,1201365541,42460110,3435498394,12.359228598143249
8192,8,4809859843,171801529,13764982390,12.481056940894495
