sz,tsz,loads,misses,ins,mpki
1024,8,34221623,309809,123885816,2.500762476311251
2048,8,136133520,1221053,492342197,2.4800900825488252
4096,8,546228307,5092268,1978046642,2.5743922776518633
8192,8,2186217600,19775194,7922413281,2.4961073474197613
