sz,tsz,loads,misses,ins,mpki
1024,8,75121603,1769173,214743136,23.55078871253586
2048,8,300580726,7539479,860007524,25.083042084341763
4096,8,1204201143,42372490,3448937925,35.187219549084915
8192,8,4825831148,172329980,13830383019,35.70990669066816
